nodo,direccion,desplazamiento_m
600038,comp_3,0.0
600038,comp_4,0.0
600038,comp_5,0.0
600039,comp_0,0.0
600039,comp_1,0.0
600039,comp_2,0.0
600039,comp_3,0.0
600039,comp_4,0.0
600039,comp_5,0.0
600040,comp_0,0.0
600040,comp_1,0.0
600040,comp_2,0.0
600040,comp_3,0.0
600040,comp_4,0.0
600040,comp_5,0.0
600041,comp_0,0.0
600041,comp_1,0.0
600041,comp_2,0.0
600041,comp_3,0.0
600041,comp_4,0.0
600041,comp_5,0.0
600042,comp_0,0.0
600042,comp_1,0.0
600042,comp_2,0.0
600042,comp_3,0.0
600042,comp_4,0.0
600042,comp_5,0.0
600043,comp_0,0.0
600043,comp_1,0.0
600043,comp_2,0.0
600043,comp_3,0.0
600043,comp_4,0.0
600043,comp_5,0.0
600044,comp_0,0.0
600044,comp_1,0.0
600044,comp_2,0.0
600044,comp_3,0.0
600044,comp_4,0.0
600044,comp_5,0.0
601000,comp_0,-0.0002956
601000,comp_1,0.00044614
601000,comp_2,-4.839e-05
601000,comp_3,-0.00016152
601000,comp_4,-0.00011043
601000,comp_5,-1.611e-05
601001,comp_0,-0.00024858
601001,comp_1,0.00044614
601001,comp_2,-7.86e-05
601001,comp_3,-0.00015804
601001,comp_4,-0.0001139
601001,comp_5,-1.611e-05
601002,comp_0,-4.725e-05
601002,comp_1,0.00044614
601002,comp_2,-0.0002237
601002,comp_3,-0.00015787
601002,comp_4,-2.499e-05
601002,comp_5,-1.611e-05
601003,comp_0,-3.1e-07
601003,comp_1,0.00044614
601003,comp_2,-4.839e-05
601003,comp_3,-0.00016152
601003,comp_4,1.6e-07
601003,comp_5,-1.611e-05
601004,comp_0,-0.00028038
601004,comp_1,0.00044131
601004,comp_2,-4.839e-05
601004,comp_3,-0.00015499
601004,comp_4,-0.00073721
601004,comp_5,-1.611e-05
601005,comp_0,-4.598e-05
601005,comp_1,-0.00015499
601005,comp_2,-0.00078155
601005,comp_3,-0.0002956
601005,comp_4,0.00044614
601005,comp_5,-1.611e-05
601006,comp_0,-3.93e-05
601006,comp_1,-0.00016287
601006,comp_2,-0.00096901
601006,comp_3,-0.0002956
601006,comp_4,0.00044614
601006,comp_5,-1.611e-05
601007,comp_0,-0.000263
601007,comp_1,-0.00016271
601007,comp_2,0.00056244
601007,comp_3,-0.0002956
601007,comp_4,0.00044614
601007,comp_5,-1.611e-05
601008,comp_0,-4.965e-05
601008,comp_1,-0.00015834
601008,comp_2,-0.00069911
601008,comp_3,0.0
601008,comp_4,0.0
601008,comp_5,0.0
601009,comp_0,-1.544e-05
601009,comp_1,0.00044131
601009,comp_2,-4.965e-05
601009,comp_3,-0.00015834
601009,comp_4,-0.00069911
601009,comp_5,-1.611e-05
601010,comp_0,-0.00028038
601010,comp_1,0.00041795
601010,comp_2,-4.839e-05
601010,comp_3,-0.00015569
601010,comp_4,-0.00142799
601010,comp_5,-1.611e-05
601011,comp_0,-1.544e-05
601011,comp_1,0.00041795
601011,comp_2,-4.713e-05
601011,comp_3,-0.00015234
601011,comp_4,-0.00082269
601011,comp_5,-1.611e-05
601012,comp_0,-4.598e-05
601012,comp_1,-0.00018146
601012,comp_2,-0.00218615
601012,comp_3,-0.0002956
601012,comp_4,0.00044614
601012,comp_5,-1.611e-05
601013,comp_0,-3.93e-05
601013,comp_1,-0.000212
601013,comp_2,-0.00232973
601013,comp_3,-0.0002956
601013,comp_4,0.00044614
601013,comp_5,-1.611e-05
601014,comp_0,-0.00034486
601014,comp_1,-0.00010502
601014,comp_2,-3.911e-05
601014,comp_3,0.0
601014,comp_4,0.0
601014,comp_5,0.0
601015,comp_0,-4.955e-05
601015,comp_1,-0.00017811
601015,comp_2,-0.00149217
601015,comp_3,-0.0002956
601015,comp_4,0.00044614
601015,comp_5,-1.611e-05
601016,comp_0,-0.00027797
601016,comp_1,0.00038735
601016,comp_2,-0.00048675
601016,comp_3,6.907e-05
601016,comp_4,6.644e-05
601016,comp_5,-1.611e-05
601017,comp_0,-0.00013463
601017,comp_1,0.00038735
601017,comp_2,-0.00034486
601017,comp_3,-0.00010502
601017,comp_4,-3.911e-05
601017,comp_5,-1.611e-05
601018,comp_0,-1.786e-05
601018,comp_1,0.00038735
601018,comp_2,-0.00085218
601018,comp_3,-5.058e-05
601018,comp_4,-4.472e-05
601018,comp_5,-1.611e-05
601019,comp_0,-0.00027797
601019,comp_1,0.00032696
601019,comp_2,-0.00071788
601019,comp_3,3.098e-05
601019,comp_4,4.479e-05
601019,comp_5,-1.611e-05
601020,comp_0,-0.00013463
601020,comp_1,0.00032696
601020,comp_2,-0.00050611
601020,comp_3,-1.283e-05
601020,comp_4,8.043e-05
601020,comp_5,-1.611e-05
601021,comp_0,-1.786e-05
601021,comp_1,0.00032696
601021,comp_2,-0.00069842
601021,comp_3,-3.871e-05
601021,comp_4,-3.31e-05
601021,comp_5,-1.611e-05
601022,comp_0,-0.00027797
601022,comp_1,0.00026656
601022,comp_2,-0.00070356
601022,comp_3,-6.472e-05
601022,comp_4,-6.97e-05
601022,comp_5,-1.611e-05
601023,comp_0,-0.00013463
601023,comp_1,0.00026656
601023,comp_2,-0.00067911
601023,comp_3,-4.337e-05
601023,comp_4,-2.721e-05
601023,comp_5,-1.611e-05
601024,comp_0,-1.786e-05
601024,comp_1,0.00026656
601024,comp_2,-0.000598
601024,comp_3,-6.075e-05
601024,comp_4,-1.668e-05
601024,comp_5,-1.611e-05
601025,comp_0,-0.00027797
601025,comp_1,0.00018603
601025,comp_2,-0.0005103
601025,comp_3,-1.074e-05
601025,comp_4,-1.59e-05
601025,comp_5,-1.611e-05
601026,comp_0,-0.00013463
601026,comp_1,0.00018603
601026,comp_2,-0.00049052
601026,comp_3,3.59e-06
601026,comp_4,-2.627e-05
601026,comp_5,-1.611e-05
601027,comp_0,-1.786e-05
601027,comp_1,0.00018603
601027,comp_2,-0.00046344
601027,comp_3,-3.37e-06
601027,comp_4,-2.282e-05
601027,comp_5,-1.611e-05
601028,comp_0,-0.00027797
601028,comp_1,0.0001055
601028,comp_2,-0.00044808
601028,comp_3,-4.151e-05
601028,comp_4,-2.095e-05
601028,comp_5,-1.611e-05
601029,comp_0,-0.00013463
601029,comp_1,0.0001055
601029,comp_2,-0.00063029
601029,comp_3,-1.616e-05
601029,comp_4,0.00010433
601029,comp_5,-1.611e-05
601030,comp_0,-1.786e-05
601030,comp_1,0.0001055
601030,comp_2,-0.00053222
601030,comp_3,-6.86e-06
601030,comp_4,6.811e-05
601030,comp_5,-1.611e-05
601031,comp_0,-0.00027797
601031,comp_1,2.497e-05
601031,comp_2,-0.00165228
601031,comp_3,-0.00048851
601031,comp_4,0.00042168
601031,comp_5,-1.611e-05
601032,comp_0,-0.00013463
601032,comp_1,2.497e-05
601032,comp_2,-0.00487009
601032,comp_3,2.188e-05
601032,comp_4,0.00151419
601032,comp_5,-1.611e-05
601033,comp_0,-1.786e-05
601033,comp_1,2.497e-05
601033,comp_2,-0.00240659
601033,comp_3,0.00044538
601033,comp_4,0.00058065
601033,comp_5,-1.611e-05
601034,comp_0,-0.00022675
601034,comp_1,-1.658e-05
601034,comp_2,-0.00020366
601034,comp_3,1.224e-05
601034,comp_4,-8.492e-05
601034,comp_5,-1.611e-05
601035,comp_0,-0.00017892
601035,comp_1,-1.658e-05
601035,comp_2,-0.00022643
601035,comp_3,1.175e-05
601035,comp_4,-6.673e-05
601035,comp_5,-1.611e-05
601036,comp_0,-0.00027797
601036,comp_1,-4.992e-05
601036,comp_2,-0.0036131
601036,comp_3,-0.00048851
601036,comp_4,0.00042168
601036,comp_5,-1.611e-05
601037,comp_0,-0.00027797
601037,comp_1,-5.556e-05
601037,comp_2,-0.00013321
601037,comp_3,2.635e-05
601037,comp_4,-0.00010382
601037,comp_5,-1.611e-05
601038,comp_0,-0.00013463
601038,comp_1,-5.717e-05
601038,comp_2,-0.01534443
601038,comp_3,2.188e-05
601038,comp_4,0.00232359
601038,comp_5,-1.611e-05
601039,comp_0,-1.786e-05
601039,comp_1,-5.717e-05
601039,comp_2,-0.0053679
601039,comp_3,0.00044538
601039,comp_4,0.00058065
601039,comp_5,-1.611e-05
601040,comp_0,-0.00027233
601040,comp_1,-5.918e-05
601040,comp_2,-6.91e-06
601040,comp_3,2.242e-05
601040,comp_4,-0.00010316
601040,comp_5,-1.611e-05
601041,comp_0,-0.00022675
601041,comp_1,-5.918e-05
601041,comp_2,-4.662e-05
601041,comp_3,2.765e-05
601041,comp_4,-8.414e-05
601041,comp_5,-1.611e-05
601042,comp_0,-0.00017892
601042,comp_1,-5.918e-05
601042,comp_2,-3.49e-05
601042,comp_3,2.825e-05
601042,comp_4,-6.611e-05
601042,comp_5,-1.611e-05
601043,comp_0,-0.00014026
601043,comp_1,-5.918e-05
601043,comp_2,-7.258e-05
601043,comp_3,2.771e-05
601043,comp_4,-5.225e-05
601043,comp_5,-1.611e-05
601044,comp_0,-1.222e-05
601044,comp_1,-5.918e-05
601044,comp_2,-6.57e-05
601044,comp_3,2.771e-05
601044,comp_4,-4.31e-06
601044,comp_5,-1.611e-05
602000,comp_0,-0.0006975
602000,comp_1,0.00099816
602000,comp_2,-8.296e-05
602000,comp_3,-0.0001101
602000,comp_4,-8.671e-05
602000,comp_5,-3.83e-05
602001,comp_0,-0.00058568
602001,comp_1,0.00099816
602001,comp_2,-0.00013627
602001,comp_3,-0.00010876
602001,comp_4,-9.033e-05
602001,comp_5,-3.83e-05
602002,comp_0,-0.00010698
602002,comp_1,0.00099816
602002,comp_2,-0.00039555
602002,comp_3,-0.00010856
602002,comp_4,-1.024e-05
602002,comp_5,-3.83e-05
602003,comp_0,4.65e-06
602003,comp_1,0.00099816
602003,comp_2,-8.296e-05
602003,comp_3,-0.0001101
602003,comp_4,2.9e-06
602003,comp_5,-3.83e-05
602004,comp_0,-0.00066131
602004,comp_1,0.00098668
602004,comp_2,-8.296e-05
602004,comp_3,-9.887e-05
602004,comp_4,-0.00021338
602004,comp_5,-3.83e-05
602005,comp_0,-7.722e-05
602005,comp_1,-9.887e-05
602005,comp_2,-0.00031801
602005,comp_3,-0.0006975
602005,comp_4,0.00099816
602005,comp_5,-3.83e-05
602006,comp_0,-4.282e-05
602006,comp_1,-0.00012025
602006,comp_2,-0.00209168
602006,comp_3,-0.0006975
602006,comp_4,0.00099816
602006,comp_5,-3.83e-05
602007,comp_0,-0.00048899
602007,comp_1,-0.00012005
602007,comp_2,0.00139222
602007,comp_3,-0.0006975
602007,comp_4,0.00099816
602007,comp_5,-3.83e-05
602008,comp_0,-8.577e-05
602008,comp_1,-0.00010804
602008,comp_2,-0.00061753
602008,comp_3,0.0
602008,comp_4,0.0
602008,comp_5,0.0
602009,comp_0,-3.135e-05
602009,comp_1,0.00098668
602009,comp_2,-8.577e-05
602009,comp_3,-0.00010804
602009,comp_4,-0.00061753
602009,comp_5,-3.83e-05
602010,comp_0,-0.00066131
602010,comp_1,0.00093115
602010,comp_2,-8.296e-05
602010,comp_3,-0.0001113
602010,comp_4,-0.00155442
602010,comp_5,-3.83e-05
602011,comp_0,-3.135e-05
602011,comp_1,0.00093115
602011,comp_2,-8.015e-05
602011,comp_3,-0.00010213
602011,comp_4,-0.00076025
602011,comp_5,-3.83e-05
602012,comp_0,-7.722e-05
602012,comp_1,-0.00017257
602012,comp_2,-0.00325611
602012,comp_3,-0.0006975
602012,comp_4,0.00099816
602012,comp_5,-3.83e-05
602013,comp_0,-4.282e-05
602013,comp_1,-0.00023705
602013,comp_2,-0.00513608
602013,comp_3,-0.0006975
602013,comp_4,0.00099816
602013,comp_5,-3.83e-05
602014,comp_0,-0.00059148
602014,comp_1,-7.321e-05
602014,comp_2,-2.108e-05
602014,comp_3,0.0
602014,comp_4,0.0
602014,comp_5,0.0
602015,comp_0,-8.589e-05
602015,comp_1,-0.0001634
602015,comp_2,-0.00225269
602015,comp_3,-0.0006975
602015,comp_4,0.00099816
602015,comp_5,-3.83e-05
602016,comp_0,-0.00065557
602016,comp_1,0.00085839
602016,comp_2,-0.00095023
602016,comp_3,8.902e-05
602016,comp_4,7.482e-05
602016,comp_5,-3.83e-05
602017,comp_0,-0.00031474
602017,comp_1,0.00085839
602017,comp_2,-0.00059148
602017,comp_3,-7.321e-05
602017,comp_4,-2.108e-05
602017,comp_5,-3.83e-05
602018,comp_0,-3.709e-05
602018,comp_1,0.00085839
602018,comp_2,-0.00103064
602018,comp_3,-5.15e-05
602018,comp_4,-1e-07
602018,comp_5,-3.83e-05
602019,comp_0,-0.00065557
602019,comp_1,0.00071478
602019,comp_2,-0.00121231
602019,comp_3,4.735e-05
602019,comp_4,5.345e-05
602019,comp_5,-3.83e-05
602020,comp_0,-0.00031474
602020,comp_1,0.00071478
602020,comp_2,-0.00088548
602020,comp_3,-2.49e-06
602020,comp_4,0.00012293
602020,comp_5,-3.83e-05
602021,comp_0,-3.709e-05
602021,comp_1,0.00071478
602021,comp_2,-0.00104049
602021,comp_3,-3.4e-05
602021,comp_4,6.3e-06
602021,comp_5,-3.83e-05
602022,comp_0,-0.00065557
602022,comp_1,0.00057117
602022,comp_2,-0.00122794
602022,comp_3,-4.081e-05
602022,comp_4,-6.17e-05
602022,comp_5,-3.83e-05
602023,comp_0,-0.00031474
602023,comp_1,0.00057117
602023,comp_2,-0.00118132
602023,comp_3,-2.73e-05
602023,comp_4,-1.334e-05
602023,comp_5,-3.83e-05
602024,comp_0,-3.709e-05
602024,comp_1,0.00057117
602024,comp_2,-0.00104194
602024,comp_3,-3.67e-05
602024,comp_4,-6.25e-06
602024,comp_5,-3.83e-05
602025,comp_0,-0.00065557
602025,comp_1,0.00037969
602025,comp_2,-0.00097185
602025,comp_3,-1.835e-05
602025,comp_4,-4.227e-05
602025,comp_5,-3.83e-05
602026,comp_0,-0.00031474
602026,comp_1,0.00037969
602026,comp_2,-0.0010424
602026,comp_3,4.87e-06
602026,comp_4,-2.385e-05
602026,comp_5,-3.83e-05
602027,comp_0,-3.709e-05
602027,comp_1,0.00037969
602027,comp_2,-0.00093056
602027,comp_3,1.414e-05
602027,comp_4,-2.61e-05
602027,comp_5,-3.83e-05
602028,comp_0,-0.00065557
602028,comp_1,0.00018821
602028,comp_2,-0.00078512
602028,comp_3,-2.369e-05
602028,comp_4,-3.321e-05
602028,comp_5,-3.83e-05
602029,comp_0,-0.00031474
602029,comp_1,0.00018821
602029,comp_2,-0.00110434
602029,comp_3,-5.6e-06
602029,comp_4,6.061e-05
602029,comp_5,-3.83e-05
602030,comp_0,-3.709e-05
602030,comp_1,0.00018821
602030,comp_2,-0.00092987
602030,comp_3,9.29e-06
602030,comp_4,4.366e-05
602030,comp_5,-3.83e-05
602031,comp_0,-0.00065557
602031,comp_1,-3.27e-06
602031,comp_2,-0.00164291
602031,comp_3,-0.00038984
602031,comp_4,0.00031179
602031,comp_5,-3.83e-05
602032,comp_0,-0.00031474
602032,comp_1,-3.27e-06
602032,comp_2,-0.00423681
602032,comp_3,1.142e-05
602032,comp_4,0.00113964
602032,comp_5,-3.83e-05
602033,comp_0,-3.709e-05
602033,comp_1,-3.27e-06
602033,comp_2,-0.00233064
602033,comp_3,0.00034863
602033,comp_4,0.00043779
602033,comp_5,-3.83e-05
602034,comp_0,-0.00053379
602034,comp_1,-0.00010207
602034,comp_2,-0.00036514
602034,comp_3,3.018e-05
602034,comp_4,-6.574e-05
602034,comp_5,-3.83e-05
602035,comp_0,-0.00042005
602035,comp_1,-0.00010207
602035,comp_2,-0.00037978
602035,comp_3,3.031e-05
602035,comp_4,-5.13e-05
602035,comp_5,-3.83e-05
602036,comp_0,-0.00065557
602036,comp_1,-0.00019475
602036,comp_2,-0.00023617
602036,comp_3,4.213e-05
602036,comp_4,-8.136e-05
602036,comp_5,-3.83e-05
602037,comp_0,-0.00065557
602037,comp_1,-0.00020337
602037,comp_2,-0.003272
602037,comp_3,-0.00038984
602037,comp_4,0.00031179
602037,comp_5,-3.83e-05
602038,comp_0,-0.00053379
602038,comp_1,-0.00020337
602038,comp_2,-7.941e-05
602038,comp_3,4.347e-05
602038,comp_4,-6.781e-05
602038,comp_5,-3.83e-05
602039,comp_0,-0.00042005
602039,comp_1,-0.00020337
602039,comp_2,-5.597e-05
602039,comp_3,4.107e-05
602039,comp_4,-5.378e-05
602039,comp_5,-3.83e-05
602040,comp_0,-0.00032814
602040,comp_1,-0.00020337
602040,comp_2,-0.00012704
602040,comp_3,4.323e-05
602040,comp_4,-3.957e-05
