tipo,elemento,nodo,componente,valor
local,16,-,comp_0,1000.39388
local,16,-,comp_1,1.1911
local,16,-,comp_2,-5.12066
local,16,-,comp_3,2.137161
local,16,-,comp_4,6.474271
local,16,-,comp_5,-1.368385
local,16,-,comp_6,-1000.39388
local,16,-,comp_7,-1.1911
local,16,-,comp_8,5.12066
local,16,-,comp_9,-2.137161
local,16,-,comp_10,13.803544
local,16,-,comp_11,6.085142
local,17,-,comp_0,477.021262
local,17,-,comp_1,-8.178646
local,17,-,comp_2,-4.54612
local,17,-,comp_3,1.713677
local,17,-,comp_4,7.231006
local,17,-,comp_5,-11.596611
local,17,-,comp_6,-477.021262
local,17,-,comp_7,8.178646
local,17,-,comp_8,4.54612
local,17,-,comp_9,-1.713677
local,17,-,comp_10,10.771628
local,17,-,comp_11,-20.790825
local,18,-,comp_0,1541.657811
local,18,-,comp_1,25.424663
local,18,-,comp_2,-2.505855
local,18,-,comp_3,2.121288
local,18,-,comp_4,10.793569
local,18,-,comp_5,53.283772
local,18,-,comp_6,-1541.657811
local,18,-,comp_7,-25.424663
local,18,-,comp_8,2.505855
local,18,-,comp_9,-2.121288
local,18,-,comp_10,-0.870385
local,18,-,comp_11,47.397895
local,19,-,comp_0,1159.627004
local,19,-,comp_1,29.066467
local,19,-,comp_2,4.986785
local,19,-,comp_3,2.922655
local,19,-,comp_4,-12.377968
local,19,-,comp_5,59.274484
local,19,-,comp_6,-1159.627004
local,19,-,comp_7,-29.066467
local,19,-,comp_8,-4.986785
local,19,-,comp_9,-2.922655
local,19,-,comp_10,-7.369701
local,19,-,comp_11,55.828724
local,20,-,comp_0,775.302203
local,20,-,comp_1,10.805621
local,20,-,comp_2,7.535916
local,20,-,comp_3,2.137161
local,20,-,comp_4,-18.089413
local,20,-,comp_5,22.340624
local,20,-,comp_6,-775.302203
local,20,-,comp_7,-10.805621
local,20,-,comp_8,-7.535916
local,20,-,comp_9,-2.137161
local,20,-,comp_10,-11.752816
local,20,-,comp_11,20.449636
local,21,-,comp_0,385.507451
local,21,-,comp_1,35.475618
local,21,-,comp_2,18.422815
local,21,-,comp_3,1.713677
local,21,-,comp_4,-29.656272
local,21,-,comp_5,44.015892
local,21,-,comp_6,-385.507451
local,21,-,comp_7,-35.475618
local,21,-,comp_8,-18.422815
local,21,-,comp_9,-1.713677
local,21,-,comp_10,-43.298075
local,21,-,comp_11,96.467555
local,22,-,comp_0,2168.568453
local,22,-,comp_1,36.682615
local,22,-,comp_2,-7.902185
local,22,-,comp_3,2.121288
local,22,-,comp_4,17.916724
local,22,-,comp_5,57.973513
local,22,-,comp_6,-2168.568453
local,22,-,comp_7,-36.682615
local,22,-,comp_8,7.902185
local,22,-,comp_9,-2.121288
local,22,-,comp_10,13.375926
local,22,-,comp_11,87.289642
local,23,-,comp_0,1630.997806
local,23,-,comp_1,54.473825
local,23,-,comp_2,-4.259565
local,23,-,comp_3,2.922655
local,23,-,comp_4,6.950369
local,23,-,comp_5,114.001204
local,23,-,comp_6,-1630.997806
local,23,-,comp_7,-54.473825
local,23,-,comp_8,4.259565
local,23,-,comp_9,-2.922655
local,23,-,comp_10,9.917507
local,23,-,comp_11,101.715142
local,24,-,comp_0,1115.329273
local,24,-,comp_1,22.807724
local,24,-,comp_2,2.017072
local,24,-,comp_3,2.137161
local,24,-,comp_4,-5.722512
local,24,-,comp_5,54.298243
local,24,-,comp_6,-1115.329273
local,24,-,comp_7,-22.807724
local,24,-,comp_8,-2.017072
local,24,-,comp_9,-2.137161
local,24,-,comp_10,-2.265092
local,24,-,comp_11,36.020342
local,25,-,comp_0,603.264333
local,25,-,comp_1,107.297487
local,25,-,comp_2,4.912249
local,25,-,comp_3,1.713677
local,25,-,comp_4,-9.619477
local,25,-,comp_5,140.57913
local,25,-,comp_6,-603.264333
local,25,-,comp_7,-107.297487
local,25,-,comp_8,-4.912249
local,25,-,comp_9,-1.713677
local,25,-,comp_10,-9.83303
local,25,-,comp_11,284.318919
local,26,-,comp_0,1831.166566
local,26,-,comp_1,16.418893
local,26,-,comp_2,-9.881053
local,26,-,comp_3,2.121288
local,26,-,comp_4,20.528831
local,26,-,comp_5,22.940234
local,26,-,comp_6,-1831.166566
local,26,-,comp_7,-16.418893
local,26,-,comp_8,9.881053
local,26,-,comp_9,-2.121288
local,26,-,comp_10,18.600139
local,26,-,comp_11,42.078581
