componente,kN
PP_losas_kN,14983.5927
PP_vigas_columnas_muros_kN,17179.2261
PP_otros_kN,0.0
PP_total_kN,32162.8188
PM_ADIC_kN,10244.1389
permanente_aplicada_kN,42406.9577
Q_sobrecarga_kN,8218.9446
