fuente,nivel,losa_id,area_neta_fe_m2,area_neta_correlacion_m2,intensidad_kgf_m2,intensidad_kN_m2,receptor,pm_adic_aplicada_kN,pp_losa_kN,espesor_losa_m,control_no_doble_conteo
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P4,L_EI_CP4_413,44.5,40.8089,200.0,1.96133,losa FE / tributaria,87.2792,163.6485,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P4,L_EI_CP4_422,36.25,32.7369,196.371678,1.925748,losa FE / tributaria,69.8084,133.3091,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P4,L_EI_CP4_414,44.5,40.8358,200.0,1.96133,losa FE / tributaria,87.2792,163.6485,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P4,L_EI_CP4_423,36.25,32.7262,196.624112,1.928224,losa FE / tributaria,69.8981,133.3091,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P4,L_EI_CP4_415,22.25,22.25,200.0,1.96133,losa FE / tributaria,43.6396,65.4594,0.12,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P4,L_EI_CP4_424,18.125,18.125,200.0,1.96133,losa FE / tributaria,35.5491,66.6546,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P4,L_EI_CP4_416,21.36,21.36,200.0,1.96133,losa FE / tributaria,41.894,62.841,0.12,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P4,L_EI_CP4_425,17.4,17.4,200.0,1.96133,losa FE / tributaria,34.1271,51.1907,0.12,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P4,L_EI_CP4_400,89.0,89.0,200.0,1.96133,losa FE / tributaria,174.5584,327.2969,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P4,L_EI_CP4_404,72.5,72.0578,199.884537,1.960198,losa FE / tributaria,142.1143,266.6183,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P4,L_EI_CP4_426,35.2,35.2,197.080114,1.932696,losa FE / tributaria,68.0309,103.5582,0.12,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P4,L_EI_CP4_D_VOLADIZO_BAJO,49.955,49.955,199.715744,1.958542,losa FE / tributaria,97.839,183.7092,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P4,L_EI_CP4_D_VOLADIZO_ALTO_OESTE,10.6,10.6,100.0,0.980665,losa FE / tributaria,10.395,38.9814,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P4,L_EI_CP4_D_VOLADIZO_ALTO_ESTE,27.664,27.664,62.497108,0.612887,losa FE / tributaria,16.9549,101.7342,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P4,L_EI_CP4_D_VOLADIZO_IZQ,5.6525,5.6525,199.83724,1.959734,losa FE / tributaria,11.0774,20.787,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
