edificio,ejecucion,nivel,tipo_elemento,seccion,elemento_id_plano,elementTag_FE,nodo_i,nodo_j,u_i_m,v_i_m,z_i_m,u_j_m,v_j_m,z_j_m,N_i_kN,Vy_i_kN,Vz_i_kN,T_i_kNm,My_i_kNm,Mz_i_kNm,N_j_kN,Vy_j_kN,Vz_j_kN,T_j_kNm,My_j_kNm,Mz_j_kNm,N_mx_kN,Vy_mx_kN,Vz_mx_kN,T_mx_kNm,My_mx_kNm,Mz_mx_kNm,M_mx_abs_kNm
I,primera_ejecucion,P3,viga,V,H_EI_CP3_y0162_35.00-40.00,543,541,89,35.0,16.15,7.87,40.0,16.15,7.87,0.0,0.0,-59.508042,7.953748,176.331399,0.0,0.0,-0.0,59.508042,-7.953748,121.208814,0.0,0.0,0.0,59.508042,7.953748,176.331399,0.0,176.331399
I,primera_ejecucion,P3,viga,V,H_EI_CP3_y0162_40.00-45.00,544,89,110,40.0,16.15,7.87,45.0,16.15,7.87,0.0,-0.0,-47.783845,0.366715,30.344069,-0.0,0.0,0.0,47.783845,-0.366715,208.575155,-0.0,0.0,0.0,47.783845,0.366715,208.575155,0.0,208.575155
I,primera_ejecucion,P3,viga,V,H_EI_CP3_y0162_45.00-47.50,546,110,545,45.0,16.15,7.87,47.5,16.15,7.87,0.0,-0.0,114.266364,-6.971166,-401.158136,-0.0,0.0,0.0,-114.266364,6.971166,115.492225,-0.0,0.0,0.0,114.266364,6.971166,401.158136,0.0,401.158136
I,primera_ejecucion,P3,viga,V,H_EI_CP3_y0162_47.50-49.90,548,545,547,47.5,16.15,7.87,49.9,16.15,7.87,0.0,0.0,43.476906,-6.178251,-109.616465,0.0,0.0,-0.0,-43.476906,6.178251,5.271891,0.0,0.0,0.0,43.476906,6.178251,109.616465,0.0,109.616465
I,primera_ejecucion,P3,viga,V,V_EI_CP3_x0.00_0-16.15,549,7,14,-0.0,-0.0,7.87,-0.0,8.9,7.87,0.0,0.0,1.776104,0.430159,-6.838714,0.0,0.0,-0.0,-1.776104,-0.430159,-8.968614,0.0,0.0,0.0,1.776104,0.430159,8.968614,0.0,8.968614
I,primera_ejecucion,P3,viga,V,V_EI_CP3_x0.00_0-16.15,550,14,21,-0.0,8.9,7.87,-0.0,16.15,7.87,0.0,-0.0,-2.614153,-0.564083,10.487986,-0.0,0.0,0.0,2.614153,0.564083,8.464621,-0.0,0.0,0.0,2.614153,0.564083,10.487986,0.0,10.487986
I,primera_ejecucion,P3,viga,V,V_EI_CP3_x10.00_0-16.15,551,42,28,10.0,-0.0,7.87,10.0,8.9,7.87,0.0,0.0,2.313341,-2.918334,-8.064223,0.0,0.0,-0.0,-2.313341,2.918334,-12.524515,0.0,0.0,0.0,2.313341,2.918334,12.524515,0.0,12.524515
I,primera_ejecucion,P3,viga,V,V_EI_CP3_x10.00_0-16.15,552,28,35,10.0,8.9,7.87,10.0,16.15,7.87,0.0,-0.0,-2.435451,3.474506,10.445698,-0.0,0.0,0.0,2.435451,-3.474506,7.211319,-0.0,0.0,0.0,2.435451,3.474506,10.445698,0.0,10.445698
I,primera_ejecucion,P3,viga,V,V_EI_CP3_x15.00_0-16.15,553,501,518,15.0,0.0,7.87,15.0,8.9,7.87,0.0,0.0,5.671159,1.396921,-10.655642,0.0,0.0,-0.0,-5.671159,-1.396921,-39.817673,0.0,0.0,0.0,5.671159,1.396921,39.817673,0.0,39.817673
I,primera_ejecucion,P3,viga,V,V_EI_CP3_x15.00_0-16.15,554,518,535,15.0,8.9,7.87,15.0,16.15,7.87,0.0,-0.0,-7.417976,0.191994,40.057224,-0.0,0.0,0.0,7.417976,-0.191994,13.723101,-0.0,0.0,0.0,7.417976,0.191994,40.057224,0.0,40.057224
I,primera_ejecucion,P3,viga,V,V_EI_CP3_x20.00_0-16.15,555,49,61,20.0,0.0,7.87,20.0,8.9,7.87,0.0,0.0,2.358758,-0.563741,-8.531135,0.0,0.0,-0.0,-2.358758,0.563741,-12.461812,0.0,0.0,0.0,2.358758,0.563741,12.461812,0.0,12.461812
I,primera_ejecucion,P3,viga,V,V_EI_CP3_x20.00_0-16.15,556,61,54,20.0,8.9,7.87,20.0,16.15,7.87,0.0,-0.0,-2.594414,-3.944714,11.665445,-0.0,0.0,0.0,2.594414,3.944714,7.144056,-0.0,0.0,0.0,2.594414,3.944714,11.665445,0.0,11.665445
I,primera_ejecucion,P3,viga,V,V_EI_CP3_x25.00_0-16.15,557,504,521,25.0,0.0,7.87,25.0,8.9,7.87,0.0,0.0,2.76411,0.086944,-7.565872,0.0,0.0,-0.0,-2.76411,-0.086944,-17.034709,0.0,0.0,0.0,2.76411,0.086944,17.034709,0.0,17.034709
I,primera_ejecucion,P3,viga,V,V_EI_CP3_x25.00_0-16.15,558,521,538,25.0,8.9,7.87,25.0,16.15,7.87,0.0,-0.0,-1.69115,0.190558,12.646068,-0.0,0.0,0.0,1.69115,-0.190558,-0.385228,-0.0,0.0,0.0,1.69115,0.190558,12.646068,0.0,12.646068
I,primera_ejecucion,P3,viga,V,V_EI_CP3_x30.00_0-16.15,559,82,75,30.0,0.0,7.87,30.0,8.9,7.87,0.0,0.0,2.45375,0.368806,-8.899088,0.0,0.0,-0.0,-2.45375,-0.368806,-12.939284,0.0,0.0,0.0,2.45375,0.368806,12.939284,0.0,12.939284
I,primera_ejecucion,P3,viga,V,V_EI_CP3_x30.00_0-16.15,560,75,68,30.0,8.9,7.87,30.0,16.15,7.87,0.0,-0.0,-3.087076,3.912275,13.479536,-0.0,0.0,0.0,3.087076,-3.912275,8.901766,-0.0,0.0,0.0,3.087076,3.912275,13.479536,0.0,13.479536
I,primera_ejecucion,P3,viga,V,V_EI_CP3_x35.00_0-16.15,561,507,524,35.0,0.0,7.87,35.0,8.9,7.87,0.0,0.0,5.6395,-0.367648,-10.255649,0.0,0.0,-0.0,-5.6395,0.367648,-39.935897,0.0,0.0,0.0,5.6395,0.367648,39.935897,0.0,39.935897
I,primera_ejecucion,P3,viga,V,V_EI_CP3_x35.00_0-16.15,562,524,541,35.0,8.9,7.87,35.0,16.15,7.87,0.0,-0.0,-8.354933,0.044065,44.559597,-0.0,0.0,0.0,8.354933,-0.044065,16.013668,-0.0,0.0,0.0,8.354933,0.044065,44.559597,0.0,44.559597
I,primera_ejecucion,P3,viga,V,V_EI_CP3_x40.00_0-16.15,563,103,96,40.0,0.0,7.87,40.0,8.9,7.87,0.0,0.0,2.511006,1.682581,-9.193241,0.0,0.0,-0.0,-2.511006,-1.682581,-13.154711,0.0,0.0,0.0,2.511006,1.682581,13.154711,0.0,13.154711
I,primera_ejecucion,P3,viga,V,V_EI_CP3_x40.00_0-16.15,564,96,89,40.0,8.9,7.87,40.0,16.15,7.87,0.0,-0.0,-3.157839,-3.645333,13.573188,-0.0,0.0,0.0,3.157839,3.645333,9.321147,-0.0,0.0,0.0,3.157839,3.645333,13.573188,0.0,13.573188
I,primera_ejecucion,P3,viga,V,V_EI_CP3_x45.00_0-16.15,565,124,117,45.0,0.0,7.87,45.0,8.9,7.87,0.0,0.0,1.294038,-0.911556,-4.497504,0.0,0.0,-0.0,-1.294038,0.911556,-7.019434,0.0,0.0,0.0,1.294038,0.911556,7.019434,0.0,7.019434
I,primera_ejecucion,P3,viga,V,V_EI_CP3_x45.00_0-16.15,566,117,110,45.0,8.9,7.87,45.0,16.15,7.87,0.0,-0.0,-1.154619,2.370994,5.767872,-0.0,0.0,0.0,1.154619,-2.370994,2.603115,-0.0,0.0,0.0,1.154619,2.370994,5.767872,0.0,5.767872
I,primera_ejecucion,P3,viga,V,V_EI_CP3_x47.50_0-16.15,567,511,528,47.5,0.0,7.87,47.5,8.9,7.87,0.0,0.0,1.874038,-2.290245,-1.369131,0.0,0.0,-0.0,-1.874038,2.290245,-15.30981,0.0,0.0,0.0,1.874038,2.290245,15.30981,0.0,15.30981
I,primera_ejecucion,P3,viga,V,V_EI_CP3_x47.50_0-16.15,568,528,545,47.5,8.9,7.87,47.5,16.15,7.87,0.0,-0.0,-2.177533,5.875759,14.994201,-0.0,0.0,0.0,2.177533,-5.875759,0.792915,-0.0,0.0,0.0,2.177533,5.875759,14.994201,0.0,14.994201
I,primera_ejecucion,P3,viga,V,V_EI_CP3_x49.90_0-16.15,569,513,530,49.9,0.0,7.87,49.9,8.9,7.87,0.0,0.0,3.385153,-1.747712,-3.485335,0.0,0.0,-0.0,-3.385153,1.747712,-26.642529,0.0,0.0,0.0,3.385153,1.747712,26.642529,0.0,26.642529
I,primera_ejecucion,P3,viga,V,V_EI_CP3_x49.90_0-16.15,570,530,547,49.9,8.9,7.87,49.9,16.15,7.87,0.0,-0.0,-4.813553,5.271891,28.720006,-0.0,0.0,0.0,4.813553,-5.271891,6.178251,-0.0,0.0,0.0,4.813553,5.271891,28.720006,0.0,28.720006
I,primera_ejecucion,P3,viga,V,V_EI_CP3_x12.20_890-1615,571,516,533,12.2,8.9,7.87,12.2,16.15,7.87,0.0,-0.0,-1.334832,7.748894,8.116138,-0.0,0.0,0.0,1.334832,-7.748894,1.561393,-0.0,0.0,0.0,1.334832,7.748894,8.116138,0.0,8.116138
I,primera_ejecucion,P4,viga,V,H_EI_CP4_y0000_0.00-10.00,574,572,573,0.0,0.0,11.83,10.0,0.0,11.83,0.0,-0.0,-7.319353,-6.250588,19.969491,-0.0,0.0,0.0,7.319353,6.250588,53.224043,-0.0,0.0,0.0,7.319353,6.250588,53.224043,0.0,53.224043
I,primera_ejecucion,P4,viga,V,H_EI_CP4_y0000_10.00-15.00,576,573,575,10.0,0.0,11.83,15.0,0.0,11.83,0.0,0.0,32.131537,-10.588468,-44.344825,0.0,0.0,-0.0,-32.131537,10.588468,-116.312859,0.0,0.0,0.0,32.131537,10.588468,116.312859,0.0,116.312859
I,primera_ejecucion,P4,viga,V,H_EI_CP4_y0000_15.00-20.00,578,575,577,15.0,0.0,11.83,20.0,0.0,11.83,0.0,0.0,-42.602179,1.990214,114.205045,0.0,0.0,-0.0,42.602179,-1.990214,98.805852,0.0,0.0,0.0,42.602179,1.990214,114.205045,0.0,114.205045
I,primera_ejecucion,P4,viga,V,H_EI_CP4_y0000_20.00-25.00,580,577,579,20.0,0.0,11.83,25.0,0.0,11.83,0.0,-0.0,22.558505,-14.054573,-67.582129,-0.0,0.0,0.0,-22.558505,14.054573,-45.210394,-0.0,0.0,0.0,22.558505,14.054573,67.582129,0.0,67.582129
I,primera_ejecucion,P4,viga,V,H_EI_CP4_y0000_25.00-30.00,582,579,581,25.0,0.0,11.83,30.0,0.0,11.83,0.0,-0.0,-25.715265,16.271401,45.506802,-0.0,0.0,0.0,25.715265,-16.271401,83.069523,-0.0,0.0,0.0,25.715265,16.271401,83.069523,0.0,83.069523
I,primera_ejecucion,P4,viga,V,H_EI_CP4_y0000_30.00-35.00,584,581,583,30.0,0.0,11.83,35.0,0.0,11.83,0.0,0.0,37.581513,-2.260259,-78.49767,0.0,0.0,-0.0,-37.581513,2.260259,-109.409895,0.0,0.0,0.0,37.581513,2.260259,109.409895,0.0,109.409895
I,primera_ejecucion,P4,viga,V,H_EI_CP4_y0000_35.00-40.00,586,583,585,35.0,0.0,11.83,40.0,0.0,11.83,0.0,-0.0,-30.842191,15.402652,111.77313,-0.0,0.0,0.0,30.842191,-15.402652,42.437828,-0.0,0.0,0.0,30.842191,15.402652,111.77313,0.0,111.77313
I,primera_ejecucion,P4,viga,V,H_EI_CP4_y0000_40.00-45.00,588,585,587,40.0,0.0,11.83,45.0,0.0,11.83,0.0,-0.0,-34.425827,7.872847,-8.718222,-0.0,0.0,0.0,34.425827,-7.872847,180.847355,-0.0,0.0,0.0,34.425827,7.872847,180.847355,0.0,180.847355
I,primera_ejecucion,P4,viga,V,H_EI_CP4_y0000_45.00-47.50,590,587,589,45.0,0.0,11.83,47.5,0.0,11.83,0.0,0.0,25.47159,17.475037,-189.103416,0.0,0.0,-0.0,-25.47159,-17.475037,125.424442,0.0,0.0,0.0,25.47159,17.475037,189.103416,0.0,189.103416
I,primera_ejecucion,P4,viga,V,H_EI_CP4_y0000_47.50-49.90,592,589,591,47.5,0.0,11.83,49.9,0.0,11.83,0.0,-0.0,12.68634,52.357843,-75.51763,-0.0,0.0,0.0,-12.68634,-52.357843,45.070414,-0.0,0.0,0.0,12.68634,52.357843,75.51763,0.0,75.51763
I,primera_ejecucion,P4,viga,V,H_EI_CP4_y0089_0.00-10.00,595,593,594,0.0,8.9,11.83,10.0,8.9,11.83,0.0,-0.0,-28.265743,20.69502,70.383879,-0.0,0.0,0.0,28.265743,-20.69502,212.273556,-0.0,0.0,0.0,28.265743,20.69502,212.273556,0.0,212.273556
I,primera_ejecucion,P4,viga,V,H_EI_CP4_y0089_10.00-15.00,597,594,596,10.0,8.9,11.83,15.0,8.9,11.83,0.0,0.0,179.811614,46.479267,-309.785497,0.0,0.0,-0.0,-179.811614,-46.479267,-589.272574,0.0,0.0,0.0,179.811614,46.479267,589.272574,0.0,589.272574
I,primera_ejecucion,P4,viga,V,H_EI_CP4_y0089_15.00-20.00,599,596,598,15.0,8.9,11.83,20.0,8.9,11.83,0.0,0.0,-252.539379,-15.15079,630.90015,0.0,0.0,-0.0,252.539379,15.15079,631.796746,0.0,0.0,0.0,252.539379,15.15079,631.796746,0.0,631.796746
I,primera_ejecucion,P4,viga,V,H_EI_CP4_y0089_20.00-25.00,601,598,600,20.0,8.9,11.83,25.0,8.9,11.83,0.0,-0.0,228.827188,39.012164,-588.252611,-0.0,0.0,0.0,-228.827188,-39.012164,-555.883328,-0.0,0.0,0.0,228.827188,39.012164,588.252611,0.0,588.252611
I,primera_ejecucion,P4,viga,V,H_EI_CP4_y0089_25.00-30.00,603,600,602,25.0,8.9,11.83,30.0,8.9,11.83,0.0,-0.0,-225.114092,-41.295115,551.987521,-0.0,0.0,0.0,225.114092,41.295115,573.582939,-0.0,0.0,0.0,225.114092,41.295115,573.582939,0.0,573.582939
I,primera_ejecucion,P4,viga,V,H_EI_CP4_y0089_30.00-35.00,605,602,604,30.0,8.9,11.83,35.0,8.9,11.83,0.0,0.0,239.533306,10.686381,-602.662544,0.0,0.0,-0.0,-239.533306,-10.686381,-595.003983,0.0,0.0,0.0,239.533306,10.686381,602.662544,0.0,602.662544
I,primera_ejecucion,P4,viga,V,H_EI_CP4_y0089_35.00-40.00,607,604,606,35.0,8.9,11.83,40.0,8.9,11.83,0.0,-0.0,-162.565312,-41.569501,548.822657,-0.0,0.0,0.0,162.565312,41.569501,264.003901,-0.0,0.0,0.0,162.565312,41.569501,548.822657,0.0,548.822657
I,primera_ejecucion,P4,viga,V,H_EI_CP4_y0089_40.00-45.00,609,606,608,40.0,8.9,11.83,45.0,8.9,11.83,0.0,-0.0,-80.896035,-12.190934,-139.400036,-0.0,0.0,0.0,80.896035,12.190934,543.880211,-0.0,0.0,0.0,80.896035,12.190934,543.880211,0.0,543.880211
I,primera_ejecucion,P4,viga,V,H_EI_CP4_y0089_45.00-47.50,611,608,610,45.0,8.9,11.83,47.5,8.9,11.83,0.0,0.0,321.391699,27.917117,-800.724114,0.0,0.0,-0.0,-321.391699,-27.917117,-2.755134,0.0,0.0,0.0,321.391699,27.917117,800.724114,0.0,800.724114
I,primera_ejecucion,P4,viga,V,H_EI_CP4_y0089_47.50-49.90,613,610,612,47.5,8.9,11.83,49.9,8.9,11.83,0.0,-0.0,100.597503,-10.275522,-125.914779,-0.0,0.0,0.0,-100.597503,10.275522,-115.519229,-0.0,0.0,0.0,100.597503,10.275522,125.914779,0.0,125.914779
I,primera_ejecucion,P4,viga,V,H_EI_CP4_y0162_0.00-10.00,616,614,615,0.0,16.15,11.83,10.0,16.15,11.83,0.0,-0.0,7.355692,57.354472,-48.411372,-0.0,0.0,0.0,-7.355692,-57.354472,-25.145544,-0.0,0.0,0.0,7.355692,57.354472,48.411372,0.0,48.411372
I,primera_ejecucion,P4,viga,V,H_EI_CP4_y0162_10.00-15.00,618,615,617,10.0,16.15,11.83,15.0,16.15,11.83,0.0,0.0,25.004164,11.866655,0.272969,0.0,0.0,-0.0,-25.004164,-11.866655,-125.293787,0.0,0.0,0.0,25.004164,11.866655,125.293787,0.0,125.293787
I,primera_ejecucion,P4,viga,V,H_EI_CP4_y0162_15.00-20.00,620,617,619,15.0,16.15,11.83,20.0,16.15,11.83,0.0,0.0,-6.997661,74.132975,85.774025,0.0,0.0,-0.0,6.997661,-74.132975,-50.785719,0.0,0.0,0.0,6.997661,74.132975,85.774025,0.0,85.774025
I,primera_ejecucion,P4,viga,V,H_EI_CP4_y0162_20.00-25.00,622,619,621,20.0,16.15,11.83,25.0,16.15,11.83,0.0,-0.0,31.998631,-19.895392,27.160598,-0.0,0.0,0.0,-31.998631,19.895392,-187.153751,-0.0,0.0,0.0,31.998631,19.895392,187.153751,0.0,187.153751
I,primera_ejecucion,P4,viga,V,H_EI_CP4_y0162_25.00-30.00,624,621,623,25.0,16.15,11.83,30.0,16.15,11.83,0.0,-0.0,-32.964126,10.653421,190.75315,-0.0,0.0,0.0,32.964126,-10.653421,-25.93252,-0.0,0.0,0.0,32.964126,10.653421,190.75315,0.0,190.75315
I,primera_ejecucion,P4,viga,V,H_EI_CP4_y0162_30.00-35.00,626,623,625,30.0,16.15,11.83,35.0,16.15,11.83,0.0,0.0,-0.039156,-78.95191,56.278214,0.0,0.0,-0.0,0.039156,78.95191,-56.082433,0.0,0.0,0.0,0.039156,78.95191,56.278214,0.0,56.278214
I,primera_ejecucion,P4,viga,V,H_EI_CP4_y0162_35.00-40.00,628,625,627,35.0,16.15,11.83,40.0,16.15,11.83,0.0,-0.0,-38.78158,-13.375455,99.900525,-0.0,0.0,0.0,38.78158,13.375455,94.007377,-0.0,0.0,0.0,38.78158,13.375455,99.900525,0.0,99.900525
I,primera_ejecucion,P4,viga,V,H_EI_CP4_y0162_40.00-45.00,630,627,629,40.0,16.15,11.83,45.0,16.15,11.83,0.0,-0.0,-31.222276,-41.552245,-78.458673,-0.0,0.0,0.0,31.222276,41.552245,234.570053,-0.0,0.0,0.0,31.222276,41.552245,234.570053,0.0,234.570053
I,primera_ejecucion,P4,viga,V,H_EI_CP4_y0162_45.00-47.50,632,629,631,45.0,16.15,11.83,47.5,16.15,11.83,0.0,0.0,4.775478,-108.251118,-184.961664,0.0,0.0,-0.0,-4.775478,108.251118,173.02297,0.0,0.0,0.0,4.775478,108.251118,184.961664,0.0,184.961664
I,primera_ejecucion,P4,viga,V,H_EI_CP4_y0162_47.50-49.90,634,631,633,47.5,16.15,11.83,49.9,16.15,11.83,0.0,-0.0,9.921273,-91.383721,-94.25987,-0.0,0.0,0.0,-9.921273,91.383721,70.448815,-0.0,0.0,0.0,9.921273,91.383721,94.25987,0.0,94.25987
I,primera_ejecucion,P4,viga,V,V_EI_CP4_x0.00_0-16.15,635,572,179,0.0,0.0,11.83,0.0,0.181,11.83,0.0,0.0,-66.14705,-19.969491,-6.250588,0.0,0.0,-0.0,66.14705,19.969491,18.223204,0.0,0.0,0.0,66.14705,19.969491,18.223204,0.0,18.223204
I,primera_ejecucion,P4,viga,V,V_EI_CP4_x0.00_0-16.15,636,179,593,0.0,0.181,11.83,0.0,8.9,11.83,0.0,0.0,-54.460541,3.476267,70.140715,0.0,0.0,-0.0,54.460541,-3.476267,404.700746,0.0,0.0,0.0,54.460541,3.476267,404.700746,0.0,404.700746
I,primera_ejecucion,P4,viga,V,V_EI_CP4_x0.00_0-16.15,637,593,197,0.0,8.9,11.83,0.0,9.081,11.83,0.0,-0.0,-142.852704,-66.907612,-384.005725,-0.0,0.0,0.0,142.852704,66.907612,409.862065,-0.0,0.0,0.0,142.852704,66.907612,409.862065,0.0,409.862065
I,primera_ejecucion,P4,viga,V,V_EI_CP4_x0.00_0-16.15,638,197,614,0.0,9.081,11.83,0.0,16.15,11.83,0.0,0.0,80.094354,-48.411372,-623.541459,0.0,0.0,0.0,-80.094354,48.411372,57.354472,0.0,0.0,0.0,80.094354,48.411372,623.541459,0.0,623.541459
I,primera_ejecucion,P4,viga,V,V_EI_CP4_x10.00_0-16.15,639,573,182,10.0,0.0,11.83,10.0,0.181,11.83,0.0,0.0,-143.634097,-8.879218,-4.337881,0.0,0.0,-0.0,143.634097,8.879218,30.335652,0.0,0.0,0.0,143.634097,8.879218,30.335652,0.0,30.335652
I,primera_ejecucion,P4,viga,V,V_EI_CP4_x10.00_0-16.15,640,182,594,10.0,0.181,11.83,10.0,8.9,11.83,0.0,0.0,-86.206316,-17.033232,113.703753,0.0,0.0,-0.0,86.206316,17.033232,637.929113,0.0,0.0,0.0,86.206316,17.033232,637.929113,0.0,637.929113
I,primera_ejecucion,P4,viga,V,V_EI_CP4_x10.00_0-16.15,641,594,200,10.0,8.9,11.83,10.0,9.081,11.83,0.0,-0.0,-492.186348,80.478709,-612.144866,-0.0,0.0,0.0,492.186348,-80.478709,701.230595,-0.0,0.0,0.0,492.186348,80.478709,701.230595,0.0,701.230595
I,primera_ejecucion,P4,viga,V,V_EI_CP4_x10.00_0-16.15,642,200,615,10.0,9.081,11.83,10.0,16.15,11.83,0.0,0.0,152.382829,-24.872576,-1031.7064,0.0,0.0,0.0,-152.382829,24.872576,-45.487817,0.0,0.0,0.0,152.382829,24.872576,1031.7064,0.0,1031.7064
I,primera_ejecucion,P4,viga,V,V_EI_CP4_x15.00_0-16.15,643,575,596,15.0,0.0,11.83,15.0,8.9,11.83,0.0,0.0,-82.742308,2.107814,12.578683,0.0,0.0,0.0,82.742308,-2.107814,723.827857,0.0,0.0,0.0,82.742308,2.107814,723.827857,0.0,723.827857
I,primera_ejecucion,P4,viga,V,V_EI_CP4_x15.00_0-16.15,644,596,617,15.0,8.9,11.83,15.0,16.15,11.83,0.0,0.0,99.750565,-39.519761,-785.457914,0.0,0.0,0.0,-99.750565,39.519761,62.26632,0.0,0.0,0.0,99.750565,39.519761,785.457914,0.0,785.457914
I,primera_ejecucion,P4,viga,V,V_EI_CP4_x20.00_0-16.15,645,577,188,20.0,0.0,11.83,20.0,0.181,11.83,0.0,0.0,-126.662165,-31.223722,-16.044788,0.0,0.0,-0.0,126.662165,31.223722,38.970639,0.0,0.0,0.0,126.662165,31.223722,38.970639,0.0,38.970639
I,primera_ejecucion,P4,viga,V,V_EI_CP4_x20.00_0-16.15,646,188,598,20.0,0.181,11.83,20.0,8.9,11.83,0.0,0.0,-110.326962,1.278758,148.731133,0.0,0.0,-0.0,110.326962,-1.278758,813.20965,0.0,0.0,0.0,110.326962,1.278758,813.20965,0.0,813.20965
I,primera_ejecucion,P4,viga,V,V_EI_CP4_x20.00_0-16.15,647,598,203,20.0,8.9,11.83,20.0,9.081,11.83,0.0,-0.0,-753.955372,-42.265378,-759.046695,-0.0,0.0,0.0,753.955372,42.265378,895.512617,-0.0,0.0,0.0,753.955372,42.265378,895.512617,0.0,895.512617
I,primera_ejecucion,P4,viga,V,V_EI_CP4_x20.00_0-16.15,648,203,619,20.0,9.081,11.83,20.0,16.15,11.83,0.0,0.0,198.489988,-23.625121,-1309.097362,0.0,0.0,0.0,-198.489988,23.625121,-94.028366,0.0,0.0,0.0,198.489988,23.625121,1309.097362,0.0,1309.097362
I,primera_ejecucion,P4,viga,V,V_EI_CP4_x25.00_0-16.15,649,579,600,25.0,0.0,11.83,25.0,8.9,11.83,0.0,0.0,-100.663533,-0.296408,30.325974,0.0,0.0,0.0,100.663533,0.296408,865.579474,0.0,0.0,0.0,100.663533,0.296408,865.579474,0.0,865.579474
I,primera_ejecucion,P4,viga,V,V_EI_CP4_x25.00_0-16.15,650,600,621,25.0,8.9,11.83,25.0,16.15,11.83,0.0,0.0,126.253509,3.599399,-945.886753,0.0,0.0,0.0,-126.253509,-3.599399,30.548812,0.0,0.0,0.0,126.253509,3.599399,945.886753,0.0,945.886753
I,primera_ejecucion,P4,viga,V,V_EI_CP4_x30.00_0-16.15,651,581,185,30.0,0.0,11.83,30.0,0.181,11.83,0.0,0.0,-124.710591,-4.571853,-18.531659,0.0,0.0,-0.0,124.710591,4.571853,41.104276,0.0,0.0,0.0,124.710591,4.571853,41.104276,0.0,41.104276
I,primera_ejecucion,P4,viga,V,V_EI_CP4_x30.00_0-16.15,652,185,602,30.0,0.181,11.83,30.0,8.9,11.83,0.0,0.0,-110.567318,1.282681,157.754047,0.0,0.0,-0.0,110.567318,-1.282681,806.282398,0.0,0.0,0.0,110.567318,1.282681,806.282398,0.0,806.282398
I,primera_ejecucion,P4,viga,V,V_EI_CP4_x30.00_0-16.15,653,602,206,30.0,8.9,11.83,30.0,9.081,11.83,0.0,-0.0,-729.460516,30.362286,-754.300902,-0.0,0.0,0.0,729.460516,-30.362286,886.333255,-0.0,0.0,0.0,729.460516,30.362286,886.333255,0.0,886.333255
I,primera_ejecucion,P4,viga,V,V_EI_CP4_x30.00_0-16.15,654,206,623,30.0,9.081,11.83,30.0,16.15,11.83,0.0,0.0,193.010914,30.345694,-1274.788819,0.0,0.0,0.0,-193.010914,-30.345694,-89.605331,0.0,0.0,0.0,193.010914,30.345694,1274.788819,0.0,1274.788819
I,primera_ejecucion,P4,viga,V,V_EI_CP4_x35.00_0-16.15,655,583,604,35.0,0.0,11.83,35.0,8.9,11.83,0.0,0.0,-80.512983,-2.363235,17.662911,0.0,0.0,0.0,80.512983,2.363235,698.902637,0.0,0.0,0.0,80.512983,2.363235,698.902637,0.0,698.902637
I,primera_ejecucion,P4,viga,V,V_EI_CP4_x35.00_0-16.15,656,604,625,35.0,8.9,11.83,35.0,16.15,11.83,0.0,0.0,94.563043,43.818092,-751.158519,0.0,0.0,0.0,-94.563043,-43.818092,65.576455,0.0,0.0,0.0,94.563043,43.818092,751.158519,0.0,751.158519
I,primera_ejecucion,P4,viga,V,V_EI_CP4_x40.00_0-16.15,657,585,191,40.0,0.0,11.83,40.0,0.181,11.83,0.0,0.0,-57.830348,-33.719606,-7.529806,0.0,0.0,-0.0,57.830348,33.719606,17.997099,0.0,0.0,0.0,57.830348,33.719606,17.997099,0.0,17.997099
I,primera_ejecucion,P4,viga,V,V_EI_CP4_x40.00_0-16.15,658,191,606,40.0,0.181,11.83,40.0,8.9,11.83,0.0,0.0,-93.278535,18.4002,159.58798,0.0,0.0,-0.0,93.278535,-18.4002,653.707562,0.0,0.0,0.0,93.278535,18.4002,653.707562,0.0,653.707562
I,primera_ejecucion,P4,viga,V,V_EI_CP4_x40.00_0-16.15,659,606,209,40.0,8.9,11.83,40.0,9.081,11.83,0.0,-0.0,-329.209212,-106.203665,-624.328996,-0.0,0.0,0.0,329.209212,106.203665,683.915863,-0.0,0.0,0.0,329.209212,106.203665,683.915863,0.0,683.915863
I,primera_ejecucion,P4,viga,V,V_EI_CP4_x40.00_0-16.15,660,209,627,40.0,9.081,11.83,40.0,16.15,11.83,0.0,0.0,139.061736,15.548704,-954.850622,0.0,0.0,0.0,-139.061736,-15.548704,-28.17679,0.0,0.0,0.0,139.061736,15.548704,954.850622,0.0,954.850622
I,primera_ejecucion,P4,viga,V,V_EI_CP4_x45.00_0-16.15,661,587,194,45.0,0.0,11.83,45.0,0.181,11.83,0.0,0.0,-101.071497,8.256061,9.60219,0.0,0.0,-0.0,101.071497,-8.256061,8.691751,0.0,0.0,0.0,101.071497,8.256061,9.60219,0.0,9.60219
I,primera_ejecucion,P4,viga,V,V_EI_CP4_x45.00_0-16.15,662,194,608,45.0,0.181,11.83,45.0,8.9,11.83,0.0,0.0,-84.061637,-28.552848,154.478264,0.0,0.0,-0.0,84.061637,28.552848,578.455146,0.0,0.0,0.0,84.061637,28.552848,578.455146,0.0,578.455146
