tag,Rx_kN,Ry_kN,Rz_kN,Mx_kN_m,My_kN_m,Mz_kN_m
162,-0.164389,0.013698,0.0,-0.16273,-1.952936,-0.00014
164,0.164444,-0.013688,0.0,0.0,0.0,0.00014
165,-0.164444,0.013688,0.0,-0.162618,-1.953593,-0.00014
167,0.164412,-0.013688,0.0,0.0,0.0,0.00014
168,-0.164412,0.013688,0.0,-0.162608,-1.953217,-0.00014
170,0.164387,-0.013688,0.0,0.0,-0.0,0.00014
171,-0.164387,0.013688,0.0,-0.162612,-1.952922,-0.00014
173,0.164371,-0.013792,0.0,0.0,0.0,0.00014
174,-0.164371,0.013792,0.0,-0.163843,-1.952724,-0.00014
176,0.164371,-0.013757,0.0,0.0,-0.0,0.00014
177,-0.164371,0.013757,0.0,-0.163435,-1.952726,-0.00014
179,6.047284,18.44511,0.0,-0.0,-0.0,7.882478
180,-6.047284,-18.44511,93.077622,104.85567,-48.806249,-7.882478
182,1.328784,27.032719,0.0,-0.0,-0.0,7.882478
183,-1.328784,-27.032719,234.817152,160.814373,-23.892569,-7.882478
185,3.212469,35.702407,0.0,-0.0,-0.0,7.882478
186,-3.212469,-35.702407,205.006741,227.822588,-33.838428,-7.882478
188,7.278829,33.19337,-0.0,0.0,-0.0,7.882478
189,-7.278829,-33.19337,196.36657,203.958745,-55.308806,-7.882478
191,12.407708,34.979448,0.0,-0.0,0.0,7.882478
192,-12.407708,-34.979448,33.966681,234.621496,-82.389285,-7.882478
194,-9.729112,34.359273,0.0,-0.0,-0.0,7.882478
195,9.729112,-34.359273,249.044039,236.655041,34.493122,-7.882478
197,4.782664,-43.91784,-0.0,0.0,0.0,7.882478
198,-4.782664,43.91784,561.580877,-224.420709,-32.6807,-7.882478
200,-14.981663,-56.590175,-0.0,0.0,-0.0,7.882478
201,14.981663,56.590175,1248.875278,-280.714508,71.674948,-7.882478
203,5.105509,-62.327741,0.0,-0.0,-0.0,7.882478
204,-5.105509,62.327741,1701.916728,-300.39272,-34.385317,-7.882478
206,0.516236,-55.907861,-0.0,0.0,-0.0,7.882478
207,-0.516236,55.907861,1653.115718,-255.879624,-10.15396,-7.882478
209,23.070529,-41.71658,-0.0,0.0,0.0,7.882478
210,-23.070529,41.71658,811.948477,-170.333531,-129.240623,-7.882478
212,-40.634752,-38.099875,0.0,0.0,0.0,7.882478
213,40.634752,38.099875,1731.797644,-145.929261,207.123257,-7.882478
215,-0.025423,0.706959,0.0,-0.0,-0.0,7.882478
216,0.025423,-0.706959,0.0,11.198229,0.402696,-7.882478
218,-0.025423,1.712274,0.0,0.0,-0.0,7.882478
219,0.025423,-1.712274,0.0,27.122427,0.402696,-7.882478
221,-0.025423,2.71759,0.0,0.0,-0.0,7.882478
222,0.025423,-2.71759,0.0,43.046624,0.402696,-7.882478
224,-0.025423,3.722905,0.0,0.0,-0.0,7.882478
225,0.025423,-3.722905,0.0,58.970821,0.402696,-7.882478
227,-0.025423,4.728221,0.0,0.0,-0.0,7.882478
228,0.025423,-4.728221,0.0,74.895019,0.402696,-7.882478
230,-0.025423,5.230879,0.0,-0.0,-0.0,7.882478
231,0.025423,-5.230879,0.0,82.857117,0.402696,-7.882478
233,0.335853,1.20946,0.0,0.0,-0.0,1.657511
234,-0.335853,-1.20946,0.0,19.157839,-5.319916,-1.657511
236,0.196657,1.273353,0.0,-0.0,-0.0,1.657511
237,-0.196657,-1.273353,0.0,20.169909,-3.115049,-1.657511
239,0.181597,1.346374,0.0,-0.0,-0.0,1.657511
240,-0.181597,-1.346374,0.0,21.326561,-2.87649,-1.657511
242,0.019353,1.349568,0.0,-0.0,-0.0,1.657511
243,-0.019353,-1.349568,0.0,21.377164,-0.306555,-1.657511
245,-0.027882,1.27244,0.0,0.0,-0.0,1.657511
246,0.027882,-1.27244,0.0,20.155451,0.441654,-1.657511
248,-0.112997,0.651078,0.0,-0.0,-0.0,1.657511
249,0.112997,-0.651078,0.0,10.31307,1.789876,-1.657511
251,-0.112997,0.880409,0.0,-0.0,-0.0,1.657511
252,0.112997,-0.880409,0.0,13.945678,1.789876,-1.657511
254,0.38674,1.348884,0.0,-0.0,-0.0,1.657511
255,-0.38674,-1.348884,0.0,21.366321,-6.125958,-1.657511
257,0.0,0.0,194.700474,-0.030346,638.923502,0.0
258,0.0,0.0,897.474833,-0.193904,-749.724204,0.0
259,0.0,0.0,46.577395,0.0,0.0,0.0
260,0.0,0.0,46.577395,0.0,0.0,0.0
261,0.0,0.0,49.55042,0.0,0.0,0.0
262,0.0,0.0,49.55042,0.0,0.0,0.0
263,0.0,0.0,46.749788,0.0,0.0,0.0
264,0.0,0.0,46.749788,0.0,0.0,0.0
265,0.0,0.0,48.314635,0.0,0.0,0.0
266,0.0,0.0,48.314635,0.0,0.0,0.0
267,-4.717697,-2.397122,0.0,-0.0,-0.0,0.074838
268,4.717697,2.397122,459.180413,-17.606483,4.922931,-0.074838
270,-6.03686,-6.557664,-0.0,-0.0,0.0,0.074838
271,6.03686,6.557664,580.168409,-23.098399,6.662431,-0.074838
273,1.76209,-4.783487,0.0,0.0,-0.0,0.13287
274,-1.76209,4.783487,426.807939,-18.942608,-6.977878,-0.13287
276,1.764659,-4.783487,0.0,0.0,0.0,0.13287
277,-1.764659,4.783487,426.807939,-18.942608,-6.988049,-0.13287
279,0.630743,-0.188763,0.0,-0.0,-0.0,0.006104
280,-0.630743,0.188763,102.495548,-0.7475,-2.497742,-0.006104
282,0.63107,-0.188763,0.0,-0.0,-0.0,0.006104
283,-0.63107,0.188763,102.495548,-0.7475,-2.499039,-0.006104
285,0.039423,-0.014077,0.0,0.0,-0.0,0.000381
286,-0.039423,0.014077,358.233626,-0.055745,-0.156114,-0.000381
288,0.039433,-0.014077,0.0,0.0,-0.0,0.000381
289,-0.039433,0.014077,358.233626,-0.055745,-0.156155,-0.000381
291,-0.794526,-0.010628,0.0,-0.0,0.0,0.018923
292,0.499547,-0.0892,0.0,-0.0,-0.0,-0.012368
294,0.294978,0.099828,83.685857,-1.143868,0.35802,-0.006556
296,-0.796976,-0.010628,0.0,-0.0,0.0,0.018923
297,0.500814,-0.0892,0.0,-0.0,0.0,-0.012368
